x,z
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.1,0.3
0.2,-0.211063269
0.2,-0.216175885
0.2,-0.214772435
0.2,-0.207868664
0.2,-0.20112696
0.2,-0.194607024
0.2,-0.188302101
0.2,-0.182204885
0.2,-0.176308323
0.2,-0.170605609
0.2,-0.165090183
0.2,-0.15975572
0.2,-0.154596126
0.2,-0.149605524
0.2,-0.144778248
0.2,-0.140108838
0.2,-0.135592028
0.2,-0.131222739
0.2,-0.126996068
0.2,-0.122907282
0.2,-0.11895181
0.2,-0.115125233
0.2,-0.111423286
0.2,-0.107841847
0.2,-0.104376936
0.2,-0.101024708
0.2,-0.097781452
0.2,-0.094643581
0.2,-0.091607631
0.2,-0.08867025
0.2,-0.085828199
0.2,-0.083078346
0.2,-0.080417662
0.2,-0.077843219
0.2,-0.075352189
0.2,-0.07294184
0.2,-0.070609532
0.2,-0.068352714
0.2,-0.066168917
0.2,-0.064055755
0.2,-0.06201092
0.2,-0.060032178
0.2,-0.058117368
0.2,-0.056264402
0.2,-0.05447126
0.2,-0.052735993
0.2,-0.051056714
0.2,-0.049431604
0.2,-0.047858898
0.2,-0.046336892
0.2,-0.044863936
0.2,-0.043438434
0.2,-0.042058839
0.2,-0.040723658
0.2,-0.039431446
0.2,-0.038180807
0.2,-0.036970394
0.2,-0.035798904
0.2,-0.034665075
0.2,-0.033567687
0.2,-0.032505559
0.2,-0.031477547
0.2,-0.030482542
0.2,-0.029519473
0.2,-0.028587305
0.2,-0.027685038
0.2,-0.026811707
0.2,-0.025966379
0.2,-0.025148152
0.2,-0.024356152
0.2,-0.023589533
0.2,-0.022847475
0.2,-0.022129183
0.2,-0.02143389
0.2,-0.020760854
0.2,-0.020109361
0.2,-0.019478722
0.2,-0.018868275
0.2,-0.018277378
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,-0.017705412
0.2,0.018008692
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,0.017891541
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
0.2,-0.017547412
