x,y
9.55E-06,3.93E-05
9.56E-06,3.94E-05
9.56E-06,3.94E-05
9.57E-06,3.94E-05
9.58E-06,3.94E-05
9.58E-06,3.94E-05
9.59E-06,3.95E-05
9.60E-06,3.95E-05
9.60E-06,3.95E-05
9.61E-06,3.95E-05
9.62E-06,3.95E-05
9.63E-06,3.96E-05
9.63E-06,3.96E-05
9.64E-06,3.96E-05
9.65E-06,3.96E-05
9.65E-06,3.96E-05
9.66E-06,3.97E-05
9.67E-06,3.97E-05
9.67E-06,3.97E-05
9.68E-06,3.97E-05
9.69E-06,3.97E-05
9.69E-06,3.98E-05
9.70E-06,3.98E-05
9.71E-06,3.98E-05
9.72E-06,3.98E-05
9.72E-06,3.98E-05
9.73E-06,3.98E-05
9.74E-06,3.99E-05
9.74E-06,3.99E-05
9.75E-06,3.99E-05
9.76E-06,3.99E-05
9.76E-06,3.99E-05
0.000536282,4.04E-05
0.002024877,4.09E-05
0.004234995,4.44E-05
0.007097812,6.31E-05
0.010291284,0.000108731
0.013502093,0.000186439
0.016809182,0.000300042
0.020017759,0.000441659
0.023224797,0.000614545
0.026527064,0.000825751
0.029729992,0.001062826
0.032930424,0.001331479
0.0362249,0.001641272
0.039419309,0.001973953
0.04261028,0.002338121
0.045894025,0.00274622
0.049077064,0.003174206
0.052255727,0.003633563
0.055525809,0.004139603
0.058694636,0.004662512
0.061858152,0.005216646
0.065111652,0.005820176
0.068263439,0.00643754
0.071408984,0.007085957
0.074642997,0.007786437
0.077774929,0.008497705
0.080899695,0.009239827
0.084111335,0.010036631
0.087220617,0.010841169
0.090321814,0.011676333
0.093508213,0.012568751
0.09659207,0.013465841
0.099666931,0.014393302
0.102825244,0.015380537
0.105880923,0.016369378
0.108926702,0.017388308
0.112054112,0.01846948
0.115078884,0.019549192
0.118092863,0.020658682
0.121186577,0.021832827
0.124177743,0.023002445
0.127157239,0.024201518
0.130214503,0.025467588
0.133169401,0.026726071
0.136111748,0.028013636
0.139129827,0.029370504
0.142045812,0.030716726
0.144948384,0.032091644
0.147924584,0.033538096
0.150799055,0.034970858
0.15365926,0.036431901
0.156590925,0.037966648
0.159421314,0.039484671
0.1622366,0.041030537
0.165121113,0.042652212
0.167904898,0.044254147
0.170672759,0.045883484
0.173507359,0.047590362
0.176241806,0.049274621
0.17895951,0.050985777
0.181741775,0.052776742
0.184424668,0.05454199
0.187090017,0.056333621
0.189817512,0.058206953
0.192446447,0.060051609
0.195057059,0.061922112
0.197727346,0.063876137
0.200299974,0.065798554
0.202853515,0.067746257
0.205464209,0.069779229
0.207978232,0.071777687
0.210472421,0.07380085
0.213021189,0.075910953
0.215474362,0.077983667
0.21790697,0.080080482
0.220391535,0.082265829
0.222781666,0.084410947
0.225150521,0.08657954
0.227568664,0.088838179
0.229893617,0.091053783
0.232196602,0.093292217
0.234546162,0.095622129
0.23680386,0.097906241
0.239038918,0.100212514
0.241317797,0.102611617
0.243506223,0.104962194
0.245671358,0.107334247
0.247877518,0.109800398
0.249994718,0.11221534
0.252087994,0.114651051
0.254219467,0.117182045
0.256263548,0.119659194
0.258283096,0.122156389
0.260337976,0.124749964
0.262307113,0.127287107
0.264251129,0.129843552
0.26622758,0.132497392
0.268120014,0.135092261
0.269986761,0.137705672
0.271883018,0.140417404
0.273697058,0.14306768
0.275484868,0.145735723
0.277299238,0.148502924
0.279033263,0.151206239
0.28074054,0.153926528
0.2824714,0.156746725
0.284123862,0.159500663
0.28574908,0.162270768
0.287394885,0.165141441
0.288964307,0.16794354
0.290506014,0.170760985
0.292065294,0.173679568
0.293550274,0.176527326
0.295007094,0.179389593
0.296478456,0.182353479
0.297877668,0.185244348
0.299248298,0.18814888
0.300630428,0.191155419
0.301942622,0.194086819
0.303225839,0.19703102
0.304517502,0.200077525
0.305741506,0.203046835
0.306936163,0.206028074
0.308136206,0.209111824
0.309270927,0.21211639
0.310375958,0.215132002
0.311483308,0.218250241
0.312527733,0.221287379
0.313542151,0.22433467
0.31455582,0.227484612
0.315509016,0.230551607
0.316431915,0.233627855
0.317350999,0.236806684
0.318212115,0.239900797
0.319042671,0.243003253
0.319866349,0.246208129
0.320634616,0.249326594
0.321372088,0.252452485
0.322099624,0.255680546
0.322774358,0.258820578
0.323418088,0.261967111
0.324048834,0.265215472
0.324629431,0.268374264
0.325178845,0.271538629
0.325723367,0.274745155
0.326383416,0.278237668
0.327221706,0.282694899
0.328171101,0.288284955
0.329207113,0.29450709
0.330341845,0.30107357
0.331560338,0.307829695
0.332790015,0.314378453
0.33406595,0.320918368
0.3354277,0.327645004
0.336794687,0.334164419
0.338206236,0.340674334
0.339705931,0.347369471
0.341205127,0.353857724
0.342747229,0.360335916
0.344379704,0.366997883
0.346006145,0.373453434
0.347673889,0.379898441
0.349434141,0.38652581
0.351183026,0.392947346
0.352971661,0.399357924
0.354855999,0.405951042
0.356724021,0.412337109
0.358630273,0.418711825
0.36063307,0.425266136
0.362614354,0.431616086
0.36463242,0.437954442
0.366748915,0.444471101
0.368839132,0.450784258
0.370964733,0.457085588
0.373190574,0.463563938
0.375385551,0.469839715
0.377614564,0.476103483
0.379945557,0.482543017
0.382241272,0.488780969
0.384569723,0.495006775
0.387001826,0.501407125
0.389394405,0.507606936
0.391818468,0.513794505
0.394347789,0.520155428
0.396833501,0.5263169
0.399349491,0.53246607
0.401972284,0.538787432
0.404547539,0.544910471
0.407151911,0.551021182
0.409864571,0.557302954
0.412525914,0.563387562
0.415215258,0.569459846
0.418014318,0.575702088
0.420758428,0.581748354
0.423529465,0.587782325
0.42641159,0.593985182
0.429235273,0.599993268
0.432084849,0.605989116
0.435046837,0.612152804
0.437947023,0.618122946
0.44087211,0.624080926
0.44391088,0.63020573
0.44688462,0.636138222
0.449882307,0.642058649
0.452433395,0.647569881
0.454335505,0.65183428
0.456020095,0.65509638
0.457668952,0.658173311
0.45929911,0.661143696
0.460958493,0.664097852
0.462698554,0.66712425
0.464416767,0.670044573
0.466163692,0.672947793
0.467993435,0.675920822
0.469798164,0.678788483
0.471631089,0.681638199
0.473548859,0.684555207
0.475438478,0.687367637
0.477355743,0.690161288
0.479359826,0.693019664
0.481332645,0.695774351
0.483332536,0.698509439
